Date,Open,High,Low,Close
1/2/17,15.465,16.375,14.64,15.83
1/3/17,15.83,16.4175,14.9025,15.9575
1/4/17,15.9575,16.1,14.8975,15.89
1/5/17,15.89,15.89,14.4475,15.05
1/6/17,15.05,15.0875,13.9225,14.9125
1/9/17,14.9125,15.635,13.82,15.48
1/10/17,15.48,15.48,14.025,15.195
1/11/17,15.195,15.195,13.5375,14.8075
1/12/17,14.8075,14.865,13.4625,14.6125
1/13/17,14.6125,14.6525,13.375,14.3825
1/16/17,14.3825,15.25,13.425,15.065
1/17/17,15.065,15.62,13.98,15.3925
1/18/17,15.3925,15.3925,13.6125,15.1825
1/19/17,15.1825,15.2775,14.035,15.02
1/20/17,15.02,15.8675,13.8525,15.79
1/23/17,15.79,16.3725,15.5025,15.905
1/24/17,15.905,15.96,14.3875,15.285
1/25/17,15.285,15.425,14.41,15.17
1/27/17,15.17,16.125,14.93,16.005
1/30/17,16.005,16.8575,15.3925,16.67
1/31/17,16.67,17.09,15.7125,16.825
2/1/17,16.825,17.4275,13.8025,13.97
2/2/17,13.97,13.97,12.64,13.52
2/3/17,13.52,13.595,11.7825,13.1275
2/6/17,13.1275,13.6125,11.06,13.3975
2/7/17,13.3975,13.7225,12.24,13.5075
2/8/17,13.5075,13.7575,11.435,13.35
2/9/17,13.35,13.78,11.395,13.235
2/10/17,13.235,13.3325,11.37,13.1775
2/13/17,13.1775,13.76,11.57,13.6925
2/14/17,13.6925,14.01,12.0975,13.8025
2/15/17,13.8025,14.46,11.7275,14.2125
2/16/17,14.2125,14.2125,11.4375,13.73
2/17/17,13.73,13.7725,12.4675,13.4325
2/20/17,13.4325,13.8475,12.4125,13.61
2/21/17,13.61,14.2825,11.8925,13.525
2/22/17,13.525,14.0425,12.7225,13.7
2/23/17,13.7,13.96,12.915,13.4
2/27/17,13.4,14.2725,13.4,13.675
2/28/17,13.675,14.025,13.1675,13.7925
3/1/17,13.7925,13.7975,13.2075,13.575
3/2/17,13.575,13.615,13.03,13.3625
3/3/17,13.3625,13.6025,12.5675,13.3525
3/6/17,13.3525,13.725,12.81,13.64
3/7/17,13.64,14.0075,13.09,13.875
3/8/17,13.875,14.2875,12.6875,14.075
3/9/17,14.075,14.7825,12.6025,14.39
3/10/17,14.39,14.39,13.575,13.9575
3/14/17,13.9575,13.9575,11.085,12.4
3/15/17,12.4,12.5325,11.2025,12.4225
3/16/17,12.4225,12.4225,11.3425,11.91
3/17/17,11.91,12.1125,10.3875,11.8525
3/20/17,11.8525,12.31,11.44,12.0175
3/21/17,12.0175,12.155,11.0325,11.9425
3/22/17,11.9425,12.3575,11.5825,12.27
3/23/17,12.27,12.27,11.2375,11.835
3/24/17,11.835,12.1025,10.705,11.9775
3/27/17,11.9775,12.57,11.3375,12.435
3/28/17,12.435,12.435,11.46,12.1175
3/29/17,12.1175,12.24,11.45,12.0875
3/30/17,12.0875,12.45,11.75,12.15
3/31/17,12.15,12.5125,11.4875,12.42
4/3/17,12.42,12.7575,11.41,11.4925
4/5/17,11.4925,11.8875,10.89,11.55
4/6/17,11.55,11.7675,11.0325,11.29
4/7/17,11.29,11.8125,10.305,11.6925
4/10/17,11.6925,11.9225,11.2425,11.62
4/11/17,11.62,11.8325,10.2375,11.395
4/12/17,11.395,12.065,10.79,11.6275
4/13/17,11.6275,11.7825,10.585,11.5775
4/17/17,11.5775,12.2125,10.6925,11.8925
4/18/17,11.8925,12.5925,10.76,12.375
4/19/17,12.375,12.515,10.745,12.215
4/20/17,12.215,12.215,10.855,11.56
4/21/17,11.56,11.735,10.555,11.4225
4/24/17,11.4225,11.855,10.9675,11.625
4/25/17,11.625,11.625,10.9725,11.155
4/26/17,11.155,11.865,9.9175,11.74
4/27/17,11.74,11.74,10.36,11.07
4/28/17,11.07,11.07,10.5325,10.86
5/2/17,10.86,11.8075,10.3525,11.4475
5/3/17,11.4475,11.66,9.945,11.5275
5/4/17,11.5275,11.7825,10.605,11.3325
5/5/17,11.3325,12.16,10.4525,11.9875
5/8/17,11.9875,11.9875,10.6125,11.665
5/9/17,11.665,11.665,10.5425,11.1125
5/10/17,11.1125,11.1125,9.9575,10.9475
5/11/17,10.9475,11.26,9.8975,10.8375
5/12/17,10.8375,10.8375,9.465,10.6275
5/15/17,10.6275,11.14,8.835,10.675
5/16/17,10.675,11.0225,9.065,10.56
5/17/17,10.56,10.8075,9.245,10.635
5/18/17,10.635,12.745,9.8175,11.785
5/19/17,11.785,11.9,10.3975,11.3025
5/22/17,11.3025,11.8525,10.2,11.2025
5/23/17,11.2025,12.765,9.865,12.2025
5/24/17,12.2025,12.785,10.45,11.83
5/25/17,11.83,11.92,10.1925,10.4475
5/26/17,10.4475,11.1875,9.8875,10.8625
5/29/17,10.8625,11.8775,10.26,11.7875
5/30/17,11.7875,12.2725,10.8625,11.765
5/31/17,11.765,12.2475,11.02,11.7625
6/1/17,11.7625,11.9125,10.6125,11.3075
6/2/17,11.3075,11.3075,10.3125,10.81
6/5/17,10.81,11.1425,10.0525,11.015
6/6/17,11.015,11.32,9.49,11.1325
6/7/17,11.1325,11.185,10.2225,10.89
6/8/17,10.89,11.1275,9.5275,11.0675
6/9/17,11.0675,11.225,10.275,10.8625
6/12/17,10.8625,11.5025,10.3525,11.4225
6/13/17,11.4225,11.4625,9.9025,11.34
6/14/17,11.34,11.5275,10.44,11.18
6/15/17,11.18,11.43,9.885,11.325
6/16/17,11.325,11.325,9.7125,10.915
6/19/17,10.915,10.915,9.7425,10.6275
6/20/17,10.6275,10.8725,9.82,10.6575
6/21/17,10.6575,11.055,9.775,10.915
6/22/17,10.915,11.42,10.07,11.2075
6/23/17,11.2075,11.78,8.755,11.5575
6/27/17,11.5575,12.8675,10.93,12.5075
6/28/17,12.5075,12.755,11.0925,11.99
6/29/17,11.99,11.99,10.595,11.3825
