Date,Open,High,Low,Close
2/1/19,10868.85,10895.35,10735.05,10792.5
3/1/19,10796.8,10814.05,10661.25,10672.25
4/1/19,10699.7,10741.05,10628.65,10727.35
7/1/19,10804.85,10835.95,10750.15,10771.8
8/1/19,10786.25,10818.45,10733.25,10802.15
9/1/19,10862.4,10870.4,10749.4,10855.15
10/1/19,10859.35,10859.35,10801.8,10821.6
11/1/19,10834.75,10850.15,10739.4,10794.95
14/01/19,10807,10808,10692.35,10737.6
15/01/19,10777.55,10896.95,10777.55,10886.8
16/01/19,10899.65,10928.15,10876.9,10890.3
17/01/19,10920.85,10930.65,10844.65,10905.2
18/01/19,10914.85,10928.2,10852.2,10906.95
21/01/19,10919.35,10987.45,10885.75,10961.85
22/01/19,10949.8,10949.8,10864.15,10922.75
23/01/19,10931.05,10944.8,10811.95,10831.5
24/01/19,10844.05,10866.6,10798.65,10849.8
25/01/19,10859.75,10931.7,10756.45,10780.55
28/01/19,10792.45,10804.45,10630.95,10661.55
29/01/19,10653.7,10690.35,10583.65,10652.2
30/01/19,10702.25,10710.2,10612.85,10651.8
31/01/19,10690.55,10838.05,10678.55,10830.95
1/2/19,10851.35,10983.45,10813.45,10893.65
4/2/19,10876.75,10927.9,10814.15,10912.25
5/2/19,10908.65,10956.7,10886.7,10934.35
6/2/19,10965.1,11072.6,10962.7,11062.45
7/2/19,11070.45,11118.1,11043.6,11069.4
8/2/19,11023.5,11041.2,10925.45,10943.6
11/2/19,10930.9,10930.9,10857.1,10888.8
12/2/19,10879.7,10910.9,10823.8,10831.4
14/02/19,10786.1,10792.7,10718.75,10746.05
15/02/19,10780.25,10785.75,10620.4,10724.4
18/02/19,10738.65,10759.9,10628.4,10640.95
19/02/19,10636.7,10722.85,10585.65,10604.35
20/02/19,10655.45,10752.7,10646.4,10735.45
21/02/19,10744.1,10808.85,10721.5,10789.85
22/02/19,10782.7,10801.55,10758.4,10791.65
25/02/19,10813.25,10887.1,10788.05,10880.1
26/02/19,10775.3,10888.75,10729.3,10835.3
27/02/19,10881.2,10939.7,10751.2,10806.65
28/02/19,10865.7,10865.7,10784.85,10792.5
1/3/19,10842.65,10877.9,10823.1,10863.5
5/3/19,10864.85,10994.9,10817,10987.45
6/3/19,11024.85,11062.3,10998.85,11053
7/3/19,11077.95,11089.05,11027.1,11058.2
8/3/19,11038.85,11049,11008.95,11035.4
11/3/19,11068.75,11180.9,11059.85,11168.05
12/3/19,11231.35,11320.4,11227,11301.2
13/03/19,11326.2,11352.3,11276.6,11341.7
14/03/19,11382.5,11383.45,11313.75,11343.25
15/03/19,11376.85,11487,11370.8,11426.85
18/03/19,11473.85,11530.15,11412.5,11462.2
19/03/19,11500.3,11543.85,11451.25,11532.4
20/03/19,11553.35,11556.1,11503.1,11521.05
22/03/19,11549.2,11572.8,11434.55,11456.9
25/03/19,11395.65,11395.65,11311.6,11354.25
26/03/19,11375.2,11496.75,11352.45,11483.25
27/03/19,11531.45,11546.2,11413,11445.05
28/03/19,11463.65,11588.5,11452.45,11570
1/4/19,11665.2,11738.1,11644.75,11669.15
